Flight_Booking,,,,,
Booking Id,Flight Id,Start Point,Destination,Date,Customer Id
33546082199,OP 133,Banglore,New Delhi,5/16/2020,1
53916526699,AI 989,Mumbai,Banglore,5/11/2020,72
35651329899,UK 881,Jaipur,Mumbai,5/13/2020,78
30235341399,UK 884,Mumbai,Banglore,5/11/2020,92
57243615599,AI 999,Banglore,Jaipur,5/13/2020,1
9357325799,UK 881,Jaipur,Mumbai,5/16/2020,6
97464130799,SG 228,Banglore,New Delhi,5/11/2020,78
5847816299,KW 724,Mumbai,Banglore,5/13/2020,3
99233096699,SG 224,Jaipur,Banglore,5/16/2020,55
19464418899,UK 881,Jaipur,Mumbai,5/14/2020,31
69228991699,UK 881,Jaipur,Mumbai,5/16/2020,3
75565186799,SG 222,Jaipur,New Delhi,5/12/2020,37
10644697899,KW 724,Mumbai,Banglore,5/15/2020,2
66944987599,6E 173,Mumbai,Banglore,5/13/2020,8
74208518799,UK 884,Mumbai,Banglore,5/15/2020,1
94657947199,OP 133,Banglore,New Delhi,5/13/2020,37
84486538299,SG 228,Banglore,New Delhi,5/13/2020,99
23764075799,AI 986,Jaipur,Mumbai,5/15/2020,55
82261919899,OP 133,Banglore,New Delhi,5/12/2020,89
81929474199,SG 222,Jaipur,New Delhi,5/10/2020,37
71700915099,AI 999,Banglore,Jaipur,5/14/2020,1
32730261699,G8 213,Mumbai,Banglore,5/16/2020,37
56308212599,UK 884,Mumbai,Banglore,5/11/2020,2
67683646799,AI 980,Banglore,Jaipur,5/16/2020,20
21367528999,AI 999,Banglore,Jaipur,5/13/2020,6
30337979699,UK 884,Mumbai,Banglore,5/15/2020,4
74799917699,SG 222,Jaipur,New Delhi,5/14/2020,10
77482613199,AI 989,Mumbai,Banglore,5/14/2020,99
93996789299,AI 986,Jaipur,Mumbai,5/16/2020,92
98885883399,6E 342,Mumbai,Banglore,5/14/2020,55
93420598099,IX 435,New Delhi,Jaipur,5/13/2020,14
70643246899,G8 213,Mumbai,Banglore,5/12/2020,31
53819974399,AI 980,Banglore,Jaipur,5/12/2020,92
9533483599,UK 884,Mumbai,Banglore,5/13/2020,99
90759839299,IX 435,New Delhi,Jaipur,5/10/2020,5
77761645199,IX 435,New Delhi,Jaipur,5/15/2020,1
75737001499,AI 980,Banglore,Jaipur,5/11/2020,99
24851057899,IX 435,New Delhi,Jaipur,5/11/2020,5
55478168999,SG 222,Jaipur,New Delhi,5/14/2020,99
50245699599,AI 980,Banglore,Jaipur,5/10/2020,4
66913747199,AI 986,Jaipur,Mumbai,5/11/2020,3
77471206299,SG 222,Jaipur,New Delhi,5/14/2020,72
94907599899,AI 980,Banglore,Jaipur,5/10/2020,72
33250996799,AI 995,Mumbai,New Delhi,5/11/2020,2
88408888699,UK 884,Mumbai,Banglore,5/10/2020,92
93329892199,OP 133,Banglore,New Delhi,5/15/2020,4
6874953599,UK 884,Mumbai,Banglore,5/13/2020,29
37736601199,6E 173,Mumbai,Banglore,5/11/2020,37
61383065199,SG 222,Jaipur,New Delhi,5/15/2020,25
75793635899,AI 999,Banglore,Jaipur,5/12/2020,89
13637382199,AI 986,Jaipur,Mumbai,5/13/2020,92
56247003899,AI 999,Banglore,Jaipur,5/16/2020,92
34827112399,SG 222,Jaipur,New Delhi,5/15/2020,69
12475887099,OP 133,Banglore,New Delhi,5/13/2020,25
67549126199,AI 999,Banglore,Jaipur,5/15/2020,10
84734064999,IX 435,New Delhi,Jaipur,5/11/2020,3
13954378899,SG 222,Jaipur,New Delhi,5/12/2020,29
96276501699,OP 133,Banglore,New Delhi,5/14/2020,89
70967321399,UK 884,Mumbai,Banglore,5/13/2020,25
34301596299,UK 881,Jaipur,Mumbai,5/14/2020,10
40750006699,AI 999,Banglore,Jaipur,5/14/2020,92
63248204399,6E 173,Mumbai,Banglore,5/16/2020,72
17226071099,UK 884,Mumbai,Banglore,5/12/2020,99
60830049299,G8 212,Mumbai,New Delhi,5/10/2020,72
66779968199,IX 435,New Delhi,Jaipur,5/11/2020,78
93858598699,IX 435,New Delhi,Jaipur,5/13/2020,13
37470605199,UK 881,Jaipur,Mumbai,5/11/2020,4
82705543199,IX 435,New Delhi,Jaipur,5/14/2020,2
25387389599,UK 884,Mumbai,Banglore,5/10/2020,3
58551356799,SG 222,Jaipur,New Delhi,5/14/2020,31
99962965299,AI 991,Banglore,New Delhi,5/10/2020,99
21724575099,SG 224,Jaipur,Banglore,5/11/2020,29
89402145899,6E 210,Jaipur,Mumbai,5/14/2020,37
2826138099,AI 980,Banglore,Jaipur,5/10/2020,69
32777601199,AI 999,Banglore,Jaipur,5/15/2020,20
17865246499,G8 213,Mumbai,Banglore,5/11/2020,99
87388329499,SG 228,Banglore,New Delhi,5/14/2020,6
90584290599,UK 884,Mumbai,Banglore,5/13/2020,69
77314506499,AI 989,Mumbai,Banglore,5/12/2020,89
50754908999,AI 999,Banglore,Jaipur,5/11/2020,92
27490096799,UK 884,Mumbai,Banglore,5/10/2020,19
39708511799,AI 999,Banglore,Jaipur,5/12/2020,2
29922618799,SG 222,Jaipur,New Delhi,5/14/2020,13
10728441399,UK 884,Mumbai,Banglore,5/10/2020,89
23833649799,AI 986,Jaipur,Mumbai,5/12/2020,4
66723538599,IX 435,New Delhi,Jaipur,5/10/2020,25
48794450899,UK 884,Mumbai,Banglore,5/11/2020,37
11867605999,IX 435,New Delhi,Jaipur,5/11/2020,92
77501981499,IX 435,New Delhi,Jaipur,5/11/2020,29
71227102099,OP 133,Banglore,New Delhi,5/11/2020,1
53228316399,IX 435,New Delhi,Jaipur,5/13/2020,19
14984846499,AI 980,Banglore,Jaipur,5/16/2020,10
13611749699,OP 133,Banglore,New Delhi,5/15/2020,19
18916973699,SG 222,Jaipur,New Delhi,5/14/2020,92
39348294899,OP 133,Banglore,New Delhi,5/12/2020,8
28947565299,UK 881,Jaipur,Mumbai,5/14/2020,25
51221809199,SG 222,Jaipur,New Delhi,5/15/2020,1
88986259599,AI 986,Jaipur,Mumbai,5/11/2020,99
53584190899,AI 986,Jaipur,Mumbai,5/10/2020,14
83832213399,6E 173,Mumbai,Banglore,5/11/2020,37
